Stoppested;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt
Kimbrerfesten;13:30;14:30;17:30;18:30;19:30;00:30;01:30;02:30
Aars Rutebilstation;13:32;14:32;17:32;18:32;19:32;00:32;01:32;02:32
Assersvej;13:34;14:34;17:34;18:34;19:34;00:34;01:34;02:34
Park Allé;13:36;14:36;17:36;18:36;19:36;00:36;01:36;02:36
Peder Stubsvej;13:38;14:38;17:38;18:38;19:38;00:38;01:38;02:38
Brorsonsvej;13:40;14:40;17:40;18:40;19:40;00:40;01:40;02:40
Assersvej;13:42;14:42;17:42;18:42;19:42;00:42;01:42;02:42
Agertoften;13:44;14:44;17:44;18:44;19:44;00:44;01:44;02:44
Toftehaven;13:45;14:45;17:45;18:45;19:45;00:45;01:45;02:45
Gl. Gislumvej;13:47;14:47;17:47;18:47;19:47;00:47;01:47;02:47
Stenildvadparken;13:49;14:49;17:49;18:49;19:49;00:49;01:49;02:49
Stenildhøjvej;13:51;14:51;17:51;18:51;19:51;00:51;01:51;02:51
Kimbrerfesten;13:55;14:55;17:55;18:55;19:55;00:55;01:55;02:55
